Show_ID,Title,Type,Country,Release_Year,Duration,Genre,IMDb_Rating,Views_Millions,Age_Rating,Is_Hit
S001,Dark ,Movie,UK,2018,97 min,Action,8.3,125.7,18+,Yes
S002,Sacred Games Returns,Movie,USA,2016,107 min,Comedy,6,84.2,18+,No
S003,Extraction Returns,Series,India,2024,3 Seasons,Comedy,8.6,43.8,13+,No
S004,Kota Factory 3,Movie,India,2020,93 min,Drama,5.4,34.8,16+,No
S005,Queen's Gambit 3,Series,USA,2023,1 Seasons,Documentary,9.4,100.4,18+,Yes
S006,Emily in Paris Returns,Movie,UK,2016,85 min,Documentary,8,132.8,13+,Yes
S007,Wednesday ,Series,UK,2020,2 Seasons,Comedy,6.7,54.6,16+,No
S008,Sacred Games Returns,Movie,India,2017,139 min,Action,6.7,132.9,18+,No
S009,Narcos 2,Movie,UK,2018,84 min,Action,8.6,94.8,13+,Yes
S010,Extraction Returns,Movie,UK,2022,130 min,Action,9,131.8,13+,Yes
S011,Ludo 2,Series,Germany,2024,4 Seasons,Sci-Fi,9,98.9,13+,Yes
S012,Squid Game Returns,Movie,USA,2016,99 min,Comedy,7.8,131.7,16+,Yes
S013,Queen's Gambit ,Series,Spain,2023,3 Seasons,Comedy,9.4,168.4,13+,Yes
S014,Dark Returns,Series,UK,2016,3 Seasons,Documentary,7,82.6,18+,No
S015,Ludo Returns,Movie,India,2019,144 min,Documentary,7.7,56.2,13+,No
S016,Narcos Returns,Series,South Korea,2022,1 Seasons,Thriller,5.5,57.4,16+,No
S017,Wednesday ,Movie,South Korea,2016,142 min,Sci-Fi,8.7,171.1,18+,Yes
S018,Squid Game 2,Movie,Spain,2019,147 min,Action,8.9,101,13+,Yes
S019,Narcos 2,Series,UK,2020,4 Seasons,Action,9,106,13+,Yes
S020,Wednesday ,Movie,USA,2024,108 min,Drama,5,78.1,13+,No
S021,Wednesday ,Series,France,2016,5 Seasons,Thriller,6.1,91.7,13+,No
S022,Narcos 2,Series,South Korea,2018,4 Seasons,Action,8.6,67.6,13+,Yes
S023,Kota Factory 3,Series,Spain,2015,1 Seasons,Comedy,5.3,84.4,13+,No
S024,Wednesday 2,Series,South Korea,2017,4 Seasons,Sci-Fi,5.8,69.2,13+,No
S025,Jawan Returns,Movie,USA,2016,110 min,Thriller,5.7,70,13+,No
S026,Enola Holmes ,Movie,Spain,2021,113 min,Sci-Fi,9.2,154.3,16+,Yes
S027,Kota Factory Returns,Series,Germany,2017,2 Seasons,Action,6.3,123,18+,No
S028,Narcos ,Movie,UK,2015,141 min,Action,7.3,129.9,13+,No
S029,Money Heist Returns,Movie,France,2016,88 min,Thriller,8,68.2,13+,Yes
S030,Delhi Crime 2,Movie,South Korea,2024,90 min,Romance,6.9,94.9,18+,No
S031,The Crown 3,Series,Germany,2018,3 Seasons,Sci-Fi,6.8,102.5,16+,No
S032,Jawan 3,Movie,USA,2022,92 min,Documentary,5.3,43.4,16+,No
S033,Squid Game 3,Series,India,2019,2 Seasons,Thriller,7,92,16+,No
S034,Queen's Gambit Returns,Series,Germany,2016,2 Seasons,Thriller,6.2,113.7,18+,No
S035,Narcos 2,Movie,UK,2020,106 min,Drama,8.1,144.1,18+,Yes
S036,Lucifer 3,Movie,USA,2021,115 min,Documentary,5.2,52,13+,No
S037,Ludo 2,Series,Spain,2023,1 Seasons,Action,5.5,105.5,18+,No
S038,Squid Game Returns,Series,France,2024,5 Seasons,Thriller,5.7,39.4,16+,No
S039,Darlings ,Movie,India,2016,125 min,Drama,8.5,155.2,16+,Yes
S040,Queen's Gambit 2,Movie,France,2017,132 min,Sci-Fi,5.1,81.8,16+,No
S041,Kota Factory 2,Movie,India,2021,84 min,Drama,8.9,74.2,16+,Yes
S042,Darlings 3,Movie,France,2018,83 min,Documentary,8,87.8,16+,Yes
S043,Sacred Games 3,Series,Germany,2023,3 Seasons,Drama,9.2,61.9,16+,Yes
S044,Bridgerton Returns,Movie,USA,2024,135 min,Drama,6.6,110.9,16+,No
S045,Queen's Gambit Returns,Movie,Spain,2019,85 min,Thriller,8.2,41.2,18+,No
S046,Extraction 3,Series,USA,2024,3 Seasons,Comedy,8,55,16+,No
S047,The Witcher 3,Series,Spain,2021,3 Seasons,Action,7.5,59.1,18+,No
S048,Enola Holmes 2,Series,South Korea,2021,5 Seasons,Romance,8.8,84.1,13+,Yes
S049,Kota Factory Returns,Series,Germany,2022,4 Seasons,Romance,7,57.4,16+,No
S050,Bridgerton ,Series,South Korea,2016,2 Seasons,Drama,8,67,13+,Yes
S051,Squid Game ,Series,India,2024,1 Seasons,Thriller,7,128,18+,No
S052,Extraction Reborn,Movie,Spain,2017,80 min,Comedy,9,161.2,13+,Yes
S053,Kota Factory 2,Series,France,2015,5 Seasons,Sci-Fi,6.1,108.1,16+,No
S054,Squid Game Reborn,Series,South Korea,2022,5 Seasons,Action,8.7,159.9,16+,Yes
S055,Narcos Reborn,Series,Germany,2022,3 Seasons,Sci-Fi,8.4,147.8,16+,Yes
S056,The Witcher Reborn,Series,India,2022,1 Seasons,Action,8.2,69.8,16+,Yes
S057,The Crown Returns,Movie,India,2018,129 min,Thriller,8.1,126.3,13+,Yes
S058,Kota Factory Reborn,Series,South Korea,2021,1 Seasons,Drama,5.9,66.7,18+,No
S059,Stranger Things Returns,Movie,Spain,2020,118 min,Comedy,8.4,149.5,16+,Yes
S060,Narcos Returns,Movie,South Korea,2022,108 min,Documentary,6.2,76.2,16+,No
S061,The Crown Reborn,Series,India,2017,5 Seasons,Action,7.4,137.7,18+,No
S062,Delhi Crime ,Series,Germany,2017,4 Seasons,Thriller,5.8,51.6,16+,No
S063,Extraction Reborn,Series,UK,2019,4 Seasons,Drama,6.1,38,13+,No
S064,Narcos ,Movie,India,2015,83 min,Drama,9.3,74.3,13+,Yes
S065,Queen's Gambit 2,Series,India,2016,5 Seasons,Sci-Fi,9.3,111.4,16+,Yes
S066,Darlings 2,Movie,South Korea,2017,119 min,Romance,5.5,29.6,16+,No
S067,Delhi Crime Reborn,Movie,Germany,2016,111 min,Comedy,5.5,91.2,18+,No
S068,Queen's Gambit ,Movie,South Korea,2020,148 min,Documentary,6.9,72.9,18+,No
S069,The Crown ,Series,Spain,2016,4 Seasons,Documentary,9.3,135.2,16+,Yes
S070,Squid Game Reborn,Series,Germany,2024,5 Seasons,Sci-Fi,8.5,101.8,18+,Yes
S071,Delhi Crime 3,Movie,France,2016,115 min,Drama,9,77.9,16+,Yes
S072,Delhi Crime Returns,Series,Spain,2015,4 Seasons,Action,8.8,68,13+,Yes
S073,Darlings 3,Series,UK,2023,1 Seasons,Drama,7.3,57.4,13+,No
S074,Kota Factory Reborn,Movie,France,2022,142 min,Romance,7,36.8,16+,No
S075,Wednesday Reborn,Series,India,2024,3 Seasons,Action,7.1,92,16+,No
S076,Narcos 3,Series,Germany,2019,3 Seasons,Drama,6.1,41.5,13+,No
S077,The Crown ,Movie,South Korea,2018,107 min,Action,8.3,75.9,18+,Yes
S078,The Witcher Returns,Movie,USA,2019,109 min,Drama,6.6,62.9,18+,No
